Data,Último,Abertura,Máxima,Mínima,Var%
06.04.2020,"5,2863","5,2998","5,3114","5,2235","-1,20%"
03.04.2020,"5,3506","5,2566","5,3541","5,2557","1,85%"
02.04.2020,"5,2533","5,2485","5,285","5,2221","0,08%"
01.04.2020,"5,2493","5,2252","5,2747","5,221","0,86%"
31.03.2020,"5,2046","5,1881","5,215","5,168","0,21%"
30.03.2020,"5,1936","5,118","5,1961","5,1128","1,84%"
27.03.2020,"5,0997","5,0235","5,1283","5,0235","1,56%"
26.03.2020,"5,0212","5,0349","5,066","4,9733","-0,28%"
25.03.2020,"5,0353","5,0995","5,1109","4,9722","-1,24%"
24.03.2020,"5,0983","5,1431","5,1431","5,0412","-0,90%"
23.03.2020,"5,1444","5,0628","5,1479","5,005","1,61%"
20.03.2020,"5,0627","5,001","5,0662","4,982","-0,65%"
19.03.2020,"5,0957","5,1098","5,214","5,0682","-0,21%"
18.03.2020,"5,1064","5,0103","5,255","5,0073","1,96%"
17.03.2020,"5,0084","5,0357","5,0873","4,9594","0,16%"
16.03.2020,"5,0002","4,86","5,069","4,86","2,93%"
13.03.2020,"4,858","4,7095","4,881","4,6424","1,40%"
12.03.2020,"4,791","4,8149","5,0284","4,7501","-0,47%"
11.03.2020,"4,8136","4,64","4,8284","4,64","3,69%"
10.03.2020,"4,6425","4,6742","4,6873","4,6345","-1,71%"
09.03.2020,"4,7231","4,76","4,7943","4,7052","2,08%"
06.03.2020,"4,6269","4,6358","4,672","4,6108","0,43%"
05.03.2020,"4,6073","4,5993","4,6672","4,5844","0,49%"
04.03.2020,"4,5847","4,514","4,5881","4,5026","1,56%"
03.03.2020,"4,5144","4,4744","4,5184","4,4521","0,90%"
02.03.2020,"4,474","4,4949","4,5068","4,469","0,02%"
28.02.2020,"4,4733","4,507","4,5143","4,4642","-0,29%"
27.02.2020,"4,4861","4,4497","4,5021","4,4471","0,81%"
26.02.2020,"4,4502","4,3884","4,4553","4,388","1,42%"
25.02.2020,"4,3878","4,3883","4,3888","4,3879","0,00%"
24.02.2020,"4,3878","4,3884","4,3884","4,3883","-0,04%"
21.02.2020,"4,3895","4,3939","4,4068","4,3712","-0,09%"
20.02.2020,"4,3933","4,3653","4,3985","4,358","0,65%"
19.02.2020,"4,3649","4,3564","4,3779","4,3562","0,21%"
18.02.2020,"4,3557","4,328","4,3645","4,3252","0,66%"
17.02.2020,"4,327","4,3003","4,332","4,2969","0,69%"
14.02.2020,"4,2974","4,3504","4,3504","4,2906","-1,20%"
13.02.2020,"4,3498","4,3552","4,3835","4,3081","-0,11%"
12.02.2020,"4,3548","4,3319","4,3558","4,3232","0,54%"
11.02.2020,"4,3316","4,3252","4,3411","4,2969","0,16%"
10.02.2020,"4,3248","4,321","4,3293","4,304","0,10%"
07.02.2020,"4,3203","4,2825","4,324","4,2793","0,89%"
06.02.2020,"4,2822","4,2357","4,2861","4,2086","1,11%"
05.02.2020,"4,2353","4,2552","4,2614","4,2263","-0,45%"
04.02.2020,"4,2545","4,248","4,2625","4,2232","0,16%"
03.02.2020,"4,2476","4,2816","4,2828","4,2294","-0,80%"
31.01.2020,"4,282","4,2438","4,2905","4,2438","0,92%"
30.01.2020,"4,243","4,2304","4,2726","4,2303","0,30%"
29.01.2020,"4,2303","4,1948","4,2326","4,1814","0,86%"
28.01.2020,"4,1943","4,2112","4,2168","4,1867","-0,31%"
27.01.2020,"4,2074","4,1842","4,2318","4,1797","0,62%"
24.01.2020,"4,1814","4,1707","4,1918","4,1649","0,27%"
23.01.2020,"4,1703","4,1832","4,1906","4,1554","-0,29%"
22.01.2020,"4,1826","4,202","4,2057","4,1724","-0,71%"
21.01.2020,"4,2123","4,1894","4,2178","4,183","0,54%"
20.01.2020,"4,1898","4,1658","4,1922","4,1628","0,68%"
17.01.2020,"4,1616","4,1851","4,1936","4,1588","-0,55%"
16.01.2020,"4,1847","4,1756","4,2011","4,1593","0,23%"
15.01.2020,"4,1753","4,1322","4,1863","4,131","1,03%"
14.01.2020,"4,1326","4,1474","4,1618","4,1214","-0,34%"
13.01.2020,"4,1466","4,0907","4,1469","4,0885","1,24%"
10.01.2020,"4,096","4,0936","4,1051","4,0615","0,09%"
09.01.2020,"4,0925","4,0645","4,0935","4,0574","0,68%"
08.01.2020,"4,0647","4,0676","4,0788","4,0399","-0,07%"
07.01.2020,"4,0676","4,062","4,0928","4,0549","0,15%"
06.01.2020,"4,0616","4,0567","4,0746","4,0463","-0,13%"
03.01.2020,"4,0669","4,0251","4,072","4,0251","1,02%"
02.01.2020,"4,026","4,0197","4,0413","4,0037","0,16%"
01.01.2020,"4,0195","4,0195","4,0195","4,0195","0,01%"
31.12.2019,"4,019","4,0197","4,0198","4,0194","-0,00%"
30.12.2019,"4,0191","4,049","4,049","4,0083","-0,66%"
27.12.2019,"4,0456","4,0566","4,062","4,0347","-0,25%"
26.12.2019,"4,0557","4,0825","4,0825","4,0457","-0,69%"
25.12.2019,"4,0838","4,0838","4,0838","4,0838","0,01%"
24.12.2019,"4,0833","4,0838","4,0838","4,0838","0,00%"
23.12.2019,"4,0833","4,102","4,102","4,0574","-0,46%"
20.12.2019,"4,1022","4,0704","4,1026","4,058","0,81%"
19.12.2019,"4,0694","4,0634","4,0706","4,0508","0,16%"
18.12.2019,"4,063","4,0684","4,0767","4,0462","-0,21%"
17.12.2019,"4,0716","4,0631","4,0785","4,0506","0,22%"
16.12.2019,"4,0628","4,1104","4,1104","4,0547","-1,10%"
13.12.2019,"4,108","4,092","4,1185","4,0752","0,43%"
12.12.2019,"4,0905","4,1241","4,1316","4,0817","-0,81%"
11.12.2019,"4,1238","4,1463","4,1467","4,1076","-0,55%"
10.12.2019,"4,1467","4,1427","4,1516","4,1326","0,11%"
09.12.2019,"4,1422","4,1415","4,1613","4,1239","0,03%"
06.12.2019,"4,1411","4,1859","4,1951","4,134","-1,06%"
05.12.2019,"4,1856","4,2077","4,2238","4,1765","-0,53%"
04.12.2019,"4,2077","4,2054","4,2109","4,1827","0,03%"
03.12.2019,"4,2063","4,2236","4,2245","4,1849","-0,40%"
02.12.2019,"4,223","4,2362","4,2541","4,2078","-0,32%"
29.11.2019,"4,2364","4,1894","4,246","4,183","1,11%"
28.11.2019,"4,19","4,2641","4,2659","4,1901","-1,73%"
27.11.2019,"4,2636","4,2295","4,2713","4,2265","0,72%"
26.11.2019,"4,233","4,2269","4,2778","4,2269","0,15%"
25.11.2019,"4,2266","4,1989","4,2312","4,1874","0,72%"
22.11.2019,"4,1962","4,194","4,2013","4,1725","0,08%"
21.11.2019,"4,193","4,195","4,2244","4,183","-0,06%"
20.11.2019,"4,1955","4,1933","4,198","4,1933","0,03%"
19.11.2019,"4,1942","4,2055","4,2197","4,1859","-0,56%"
